Emoji,Context,Platform,UserAge,UserGender
❤️,celebration,Snapchat,59,Male
❤️,happy,Twitter,56,Male
😭,angry,WhatsApp,43,Male
😘,cool,Facebook,25,Female
🤗,cool,Snapchat,51,Male
🤣,angry,Facebook,59,Male
💕,love,Instagram,44,Female
🙌,cool,Facebook,63,Male
👏,cool,TikTok,50,Female
😢,cool,Instagram,52,Male
😜,sad,TikTok,57,Female
💔,sad,Twitter,64,Male
😂,happy,Instagram,43,Male
😢,confusion,Facebook,62,Male
🤣,celebration,WhatsApp,13,Male
😳,surprise,WhatsApp,62,Male
😎,celebration,Facebook,13,Male
🤗,cool,Facebook,50,Male
😅,surprise,TikTok,62,Male
🙄,confusion,Instagram,56,Female
👏,funny,Facebook,39,Female
😊,happy,Facebook,49,Male
💕,surprise,TikTok,54,Female
😊,sad,TikTok,13,Female
👍,celebration,Facebook,60,Female
🙄,love,TikTok,49,Female
🤣,celebration,Facebook,36,Male
😎,love,Snapchat,54,Female
😊,love,Snapchat,48,Female
🙄,happy,TikTok,39,Female
🥰,angry,WhatsApp,31,Female
😢,sad,Instagram,34,Male
👍,love,WhatsApp,59,Female
🙄,confusion,WhatsApp,18,Male
🤣,love,Instagram,48,Male
🤩,happy,TikTok,33,Male
🙌,cool,Instagram,34,Male
👍,love,WhatsApp,33,Male
😔,surprise,Facebook,57,Female
😳,cool,Facebook,64,Female
😳,happy,TikTok,53,Male
🤔,confusion,TikTok,27,Male
🎉,support,Twitter,18,Male
🙏,celebration,Twitter,53,Female
😘,love,Twitter,31,Male
🤣,confusion,TikTok,47,Male
😂,support,WhatsApp,37,Female
🙏,confusion,Instagram,23,Male
😂,happy,Snapchat,27,Male
🎉,celebration,Instagram,23,Female
😜,support,Snapchat,28,Female
😊,love,TikTok,36,Male
😍,celebration,Instagram,54,Female
🤔,cool,TikTok,14,Male
🤪,angry,Instagram,44,Female
🤣,support,Snapchat,13,Female
😍,celebration,Facebook,57,Female
😅,support,Twitter,16,Male
😔,funny,WhatsApp,14,Female
🤔,happy,WhatsApp,53,Female
😭,celebration,TikTok,53,Female
😳,support,Facebook,37,Female
😘,happy,Facebook,44,Male
😂,confusion,WhatsApp,40,Male
😅,love,Snapchat,51,Female
😜,angry,WhatsApp,62,Male
👏,cool,TikTok,32,Male
🤩,cool,Instagram,39,Female
🙌,sad,Snapchat,25,Male
💔,surprise,Facebook,34,Male
😍,happy,WhatsApp,36,Male
🤗,confusion,Facebook,54,Male
😍,love,TikTok,46,Male
🤣,love,Snapchat,41,Male
💔,love,Instagram,57,Male
🤣,support,TikTok,35,Female
😜,sad,TikTok,24,Female
😢,support,Instagram,16,Female
🤣,celebration,Facebook,59,Female
🙄,angry,Snapchat,15,Female
🎉,happy,Instagram,64,Male
😜,surprise,TikTok,40,Female
💔,cool,Instagram,51,Female
😢,cool,Instagram,55,Female
😘,funny,Snapchat,48,Female
🤩,surprise,Instagram,36,Male
❤️,cool,Snapchat,15,Male
😊,cool,Facebook,14,Female
😅,surprise,Snapchat,13,Female
😉,angry,Facebook,57,Female
👏,support,Facebook,49,Male
🥰,confusion,Instagram,38,Male
👏,support,Facebook,42,Female
😍,cool,Facebook,46,Female
😏,sad,Twitter,39,Female
🤔,surprise,TikTok,23,Male
😂,cool,TikTok,35,Female
😉,angry,Twitter,16,Male
😂,happy,Twitter,49,Male
💕,sad,WhatsApp,64,Female
😏,funny,Snapchat,53,Male
😢,angry,Snapchat,53,Male
😅,cool,Twitter,60,Female
😏,funny,Instagram,39,Female
😇,angry,Twitter,30,Male
😡,happy,Snapchat,54,Male
🥰,support,Twitter,52,Male
😔,happy,TikTok,54,Male
😇,happy,Instagram,26,Female
🤪,happy,Snapchat,22,Male
😍,surprise,Facebook,18,Male
🤣,confusion,Instagram,40,Female
😍,support,TikTok,43,Female
👏,confusion,WhatsApp,38,Male
😔,support,Twitter,48,Male
🤔,funny,Snapchat,61,Male
🥰,happy,Instagram,47,Female
🥰,love,WhatsApp,20,Female
😏,angry,Snapchat,60,Female
🥰,support,Snapchat,42,Male
🤩,sad,Twitter,60,Male
😍,cool,Instagram,57,Male
😇,surprise,Facebook,55,Male
🙄,celebration,Snapchat,41,Male
🤣,confusion,Instagram,14,Male
😎,funny,WhatsApp,13,Male
🤪,happy,Facebook,62,Female
😢,love,Snapchat,21,Male
😂,funny,Twitter,22,Female
😊,celebration,Twitter,56,Male
🤣,confusion,TikTok,49,Female
😔,surprise,Facebook,41,Male
👏,sad,Snapchat,42,Male
😡,angry,Snapchat,45,Male
😉,angry,WhatsApp,61,Male
😔,surprise,WhatsApp,13,Male
🤗,love,Twitter,22,Female
😔,surprise,Twitter,55,Male
👏,surprise,Snapchat,13,Female
😇,cool,Instagram,59,Female
🤔,confusion,TikTok,45,Male
😇,celebration,WhatsApp,40,Female
🤪,support,Facebook,50,Male
😳,love,Facebook,55,Female
😢,funny,Facebook,50,Female
🤗,funny,Twitter,36,Female
🤔,funny,Instagram,53,Male
😡,happy,Facebook,33,Female
🤗,sad,Twitter,21,Female
😉,love,WhatsApp,54,Female
😳,support,WhatsApp,27,Male
🤪,angry,Instagram,13,Female
😏,funny,TikTok,29,Male
❤️,cool,Twitter,29,Female
🥰,cool,TikTok,64,Female
😂,support,Snapchat,28,Female
😊,angry,WhatsApp,24,Male
💔,celebration,Twitter,61,Female
💔,celebration,Instagram,24,Female
🤗,surprise,WhatsApp,16,Male
💕,surprise,Twitter,47,Male
😳,confusion,TikTok,16,Female
😔,sad,Snapchat,25,Female
😭,celebration,Snapchat,33,Male
😇,celebration,Instagram,47,Male
😇,angry,WhatsApp,58,Male
👍,confusion,Instagram,28,Male
😘,funny,Snapchat,30,Female
😜,confusion,Instagram,25,Male
🥰,celebration,WhatsApp,36,Male
😉,support,WhatsApp,26,Female
👍,surprise,Twitter,48,Female
👏,funny,Twitter,28,Male
💕,cool,TikTok,46,Female
👍,funny,Facebook,22,Female
🤪,surprise,Twitter,20,Male
🤗,cool,TikTok,46,Male
❤️,cool,Facebook,45,Male
😉,confusion,Twitter,28,Male
😎,angry,WhatsApp,16,Male
😇,funny,WhatsApp,40,Female
🤪,sad,Instagram,50,Female
😇,support,WhatsApp,59,Female
🤣,cool,WhatsApp,38,Female
😜,sad,Facebook,62,Female
👍,angry,Instagram,60,Male
🤣,angry,WhatsApp,59,Male
😅,angry,WhatsApp,40,Female
😎,love,Snapchat,62,Male
💕,sad,WhatsApp,38,Male
🤣,cool,Snapchat,56,Male
😉,cool,Twitter,15,Female
🤪,sad,Twitter,24,Male
🙏,happy,WhatsApp,63,Female
🙌,love,Instagram,57,Female
👏,angry,WhatsApp,25,Male
😂,surprise,Twitter,23,Female
👏,support,Snapchat,56,Male
🥰,cool,Snapchat,59,Male
🙄,funny,TikTok,28,Male
😅,love,Twitter,13,Female
😉,love,WhatsApp,24,Female
👏,sad,Twitter,24,Female
🙏,surprise,Twitter,28,Female
🤪,cool,Snapchat,52,Female
😡,angry,Snapchat,31,Male
👍,support,Twitter,61,Male
🥰,happy,Snapchat,57,Male
😍,support,WhatsApp,60,Male
💔,confusion,WhatsApp,61,Female
😏,funny,Facebook,63,Male
🤗,funny,Twitter,44,Male
🙌,happy,Instagram,13,Male
😳,confusion,TikTok,48,Male
😏,confusion,WhatsApp,23,Female
😢,funny,TikTok,30,Female
🙄,celebration,Snapchat,43,Male
😳,funny,Twitter,48,Female
🤪,angry,Instagram,59,Female
🤣,surprise,Instagram,39,Male
🤣,surprise,Instagram,52,Female
😭,love,Instagram,39,Male
😘,cool,WhatsApp,25,Female
😘,support,Facebook,50,Male
😘,celebration,Snapchat,32,Female
🙌,love,WhatsApp,19,Male
🤣,celebration,Facebook,39,Male
😢,angry,WhatsApp,16,Female
🤩,happy,Snapchat,39,Female
😜,support,WhatsApp,15,Female
😎,love,Snapchat,54,Male
🤣,love,Twitter,17,Female
😘,surprise,WhatsApp,56,Male
😅,confusion,Twitter,23,Female
💔,celebration,WhatsApp,64,Male
😔,angry,Twitter,48,Male
😭,love,TikTok,44,Female
😭,celebration,Twitter,21,Female
🤪,surprise,Twitter,51,Female
😳,cool,Instagram,32,Female
❤️,happy,Facebook,29,Male
😎,angry,Facebook,32,Male
😍,confusion,TikTok,48,Male
😍,surprise,Twitter,28,Male
😇,happy,TikTok,13,Male
❤️,cool,Instagram,60,Female
🙏,happy,Instagram,19,Male
🥰,love,Snapchat,27,Female
😊,cool,Instagram,51,Male
😂,surprise,Twitter,31,Female
👏,love,Snapchat,43,Male
😍,sad,Facebook,38,Female
🙏,celebration,Facebook,40,Female
😳,cool,WhatsApp,54,Female
🤔,love,Twitter,57,Female
🥰,sad,TikTok,51,Male
🤪,confusion,WhatsApp,61,Male
❤️,love,Facebook,36,Female
🎉,happy,Instagram,54,Female
🤔,surprise,Snapchat,53,Male
🤣,celebration,TikTok,33,Male
😇,cool,WhatsApp,24,Male
💔,celebration,Twitter,40,Female
🥰,sad,Facebook,34,Male
🙄,happy,Facebook,14,Male
😊,celebration,TikTok,22,Female
🤔,angry,Snapchat,35,Male
🤗,cool,Facebook,63,Female
🤣,love,TikTok,25,Female
😭,funny,WhatsApp,46,Male
😡,cool,TikTok,61,Male
🤣,cool,Facebook,59,Male
😜,angry,Facebook,18,Male
🤪,funny,Snapchat,41,Male
🎉,angry,Instagram,42,Female
❤️,happy,TikTok,15,Male
😜,surprise,Twitter,43,Male
🎉,angry,TikTok,47,Male
🤪,angry,Twitter,62,Female
🙄,celebration,WhatsApp,25,Female
🤪,support,TikTok,34,Male
😍,sad,Twitter,25,Male
🙏,surprise,Snapchat,29,Male
🙏,funny,Snapchat,36,Male
😎,confusion,Facebook,23,Female
😎,angry,TikTok,29,Female
😳,angry,Facebook,34,Female
🤪,celebration,WhatsApp,38,Female
😍,cool,TikTok,32,Female
👍,celebration,Instagram,47,Female
💔,support,Facebook,36,Male
😳,love,Snapchat,29,Male
😭,angry,Facebook,57,Female
😭,celebration,WhatsApp,45,Female
👏,sad,WhatsApp,14,Male
😉,confusion,Facebook,39,Male
🎉,support,Instagram,26,Male
💕,cool,Twitter,43,Female
😭,surprise,TikTok,48,Female
😜,angry,Snapchat,54,Female
😡,surprise,Instagram,57,Male
👏,cool,WhatsApp,44,Female
😏,love,Snapchat,54,Male
🎉,angry,TikTok,35,Female
😘,celebration,Snapchat,14,Male
🤪,celebration,Twitter,28,Female
😢,sad,WhatsApp,44,Male
😳,cool,Twitter,15,Female
😘,sad,Twitter,26,Female
🤗,celebration,Instagram,13,Female
😜,sad,TikTok,13,Male
😂,angry,WhatsApp,23,Female
💔,support,WhatsApp,29,Female
😘,love,Instagram,24,Female
😡,confusion,WhatsApp,38,Female
👏,confusion,Instagram,35,Male
🎉,surprise,WhatsApp,18,Female
😘,support,TikTok,16,Female
🤩,celebration,Facebook,59,Female
😂,happy,WhatsApp,32,Male
😉,confusion,Facebook,19,Male
🤔,sad,TikTok,64,Female
😅,celebration,Twitter,30,Male
😊,cool,Twitter,29,Female
😇,sad,Twitter,38,Female
🙄,love,Snapchat,47,Male
🤣,confusion,Twitter,54,Male
😏,support,Facebook,30,Female
🥰,surprise,TikTok,57,Male
😇,cool,Instagram,37,Female
💔,love,Instagram,23,Male
🤪,confusion,Snapchat,63,Female
💔,surprise,WhatsApp,55,Female
😢,sad,Twitter,39,Female
🙌,surprise,WhatsApp,49,Female
😂,confusion,Instagram,43,Male
😏,angry,Facebook,61,Female
🥰,love,Snapchat,31,Female
😭,love,Snapchat,13,Female
🙌,cool,Snapchat,16,Male
😔,happy,Twitter,47,Female
🤩,funny,Snapchat,41,Male
🎉,cool,Facebook,23,Female
😇,celebration,Facebook,30,Female
🙄,celebration,Snapchat,21,Male
🙌,sad,Instagram,34,Male
😂,funny,TikTok,60,Female
👏,love,TikTok,40,Male
😡,surprise,Instagram,27,Male
😊,angry,Snapchat,37,Male
🤗,angry,Twitter,31,Female
😂,angry,Instagram,47,Male
😅,angry,Snapchat,60,Male
😢,celebration,Facebook,32,Female
😉,support,WhatsApp,60,Female
😡,cool,Instagram,41,Female
🙄,angry,Twitter,24,Male
😜,angry,TikTok,31,Female
😊,surprise,WhatsApp,13,Female
😉,surprise,WhatsApp,51,Male
🤣,angry,Twitter,55,Female
🤩,celebration,Twitter,60,Male
😏,surprise,Snapchat,58,Female
😭,angry,Facebook,49,Female
🥰,confusion,Twitter,14,Female
🤪,celebration,Twitter,53,Male
😔,confusion,WhatsApp,57,Female
🙏,love,Instagram,44,Female
😂,angry,TikTok,56,Female
🥰,funny,Instagram,62,Male
👍,love,TikTok,45,Female
👍,sad,Twitter,37,Female
😳,confusion,Facebook,13,Female
👏,happy,Twitter,42,Female
😊,funny,Facebook,57,Female
😭,surprise,WhatsApp,47,Male
😡,happy,Snapchat,60,Male
😔,confusion,WhatsApp,63,Male
🤩,funny,Snapchat,57,Female
😅,love,TikTok,57,Male
🙄,cool,WhatsApp,15,Female
😢,love,Twitter,31,Female
🎉,love,TikTok,26,Male
💔,celebration,Twitter,21,Female
😏,confusion,Facebook,17,Female
🤣,support,Twitter,32,Female
😘,support,TikTok,22,Male
😜,cool,Instagram,42,Female
😳,love,Twitter,13,Female
😍,celebration,Instagram,51,Male
😏,confusion,TikTok,62,Female
😳,celebration,WhatsApp,35,Male
🤩,support,WhatsApp,38,Male
👏,confusion,Snapchat,40,Female
🙌,funny,TikTok,30,Male
😡,sad,Snapchat,38,Male
😡,surprise,Twitter,56,Female
😜,happy,Twitter,24,Female
😔,confusion,TikTok,19,Male
🙌,funny,Snapchat,17,Male
❤️,confusion,Twitter,43,Male
💕,confusion,Instagram,21,Female
😅,confusion,WhatsApp,28,Male
😳,surprise,Facebook,32,Female
🤔,surprise,Facebook,29,Male
💔,support,WhatsApp,45,Male
🤔,surprise,Facebook,41,Female
🤩,funny,Facebook,23,Male
😡,support,Instagram,42,Female
🤣,funny,WhatsApp,26,Male
🤩,happy,TikTok,52,Female
🎉,support,Snapchat,48,Male
😅,cool,WhatsApp,62,Female
😘,cool,Twitter,64,Female
😎,support,Twitter,56,Female
😔,sad,WhatsApp,56,Female
🤗,happy,Facebook,19,Female
💕,sad,Instagram,55,Female
💕,love,Twitter,19,Female
😭,angry,Snapchat,64,Female
🥰,funny,Instagram,41,Female
😔,cool,Snapchat,54,Female
😇,happy,Facebook,26,Male
😭,support,Snapchat,49,Female
🤔,surprise,Snapchat,51,Female
😇,surprise,Twitter,62,Male
😉,cool,Facebook,33,Male
😇,funny,Snapchat,62,Male
👍,happy,Instagram,40,Female
🤗,love,WhatsApp,34,Female
🥰,support,TikTok,48,Male
🤣,sad,WhatsApp,27,Female
💕,support,Twitter,47,Female
🎉,surprise,Snapchat,63,Male
😭,confusion,Instagram,63,Male
🙄,angry,Instagram,53,Male
🤗,funny,TikTok,29,Female
😍,cool,Snapchat,27,Female
😡,happy,TikTok,46,Female
🤔,sad,Snapchat,33,Male
😇,happy,Facebook,59,Male
😜,cool,WhatsApp,29,Female
😔,funny,Snapchat,43,Female
🙌,support,Snapchat,55,Male
😇,support,Instagram,27,Female
😊,confusion,TikTok,63,Female
😊,celebration,TikTok,34,Female
😎,confusion,Twitter,20,Female
🎉,surprise,TikTok,63,Male
🙌,sad,WhatsApp,46,Male
😉,support,WhatsApp,22,Male
🤗,cool,WhatsApp,14,Female
🙄,celebration,Facebook,21,Female
❤️,happy,WhatsApp,18,Female
🙏,cool,Instagram,59,Male
🤗,confusion,Snapchat,57,Male
🙌,love,Instagram,40,Male
💔,angry,Facebook,35,Male
🤪,funny,Facebook,16,Male
❤️,confusion,Instagram,32,Female
😏,angry,Twitter,60,Female
😳,surprise,Twitter,24,Female
🙌,funny,TikTok,64,Male
😏,confusion,TikTok,56,Male
😉,love,Facebook,17,Female
😉,angry,TikTok,63,Female
😭,funny,Twitter,21,Male
😘,funny,TikTok,49,Male
🎉,confusion,TikTok,48,Female
😘,funny,TikTok,28,Female
😉,sad,Instagram,30,Male
😂,cool,Facebook,34,Male
😏,support,WhatsApp,15,Female
😇,happy,Twitter,40,Female
😊,funny,TikTok,20,Male
🎉,confusion,TikTok,39,Female
🙄,support,Twitter,13,Female
😳,celebration,TikTok,45,Female
🤔,support,Instagram,21,Female
🤣,confusion,TikTok,20,Female
😅,love,Instagram,41,Male
❤️,angry,Instagram,60,Male
🙄,angry,Twitter,40,Male
😊,happy,Twitter,26,Male
😊,confusion,Facebook,33,Male
🤔,happy,Twitter,50,Female
🤔,angry,Facebook,30,Female
👍,confusion,Instagram,61,Male
😅,sad,TikTok,37,Female
😔,sad,WhatsApp,33,Female
🥰,support,Twitter,17,Female
💔,funny,Instagram,25,Male
👏,cool,WhatsApp,24,Female
🙄,confusion,TikTok,23,Male
💕,celebration,Instagram,26,Male
😘,celebration,TikTok,24,Male
😡,happy,WhatsApp,45,Female
💔,funny,Twitter,41,Female
👍,angry,Instagram,24,Male
🤣,funny,Twitter,52,Female
😏,celebration,Facebook,18,Male
😎,happy,Instagram,62,Female
😜,sad,WhatsApp,64,Female
🎉,happy,Instagram,46,Male
😅,confusion,Snapchat,49,Female
😍,cool,Snapchat,46,Male
❤️,confusion,Facebook,46,Male
👏,funny,Instagram,19,Male
🤣,support,Instagram,43,Female
😎,funny,TikTok,51,Female
😊,confusion,WhatsApp,40,Female
🤩,love,TikTok,27,Male
❤️,sad,WhatsApp,46,Female
🎉,celebration,WhatsApp,39,Male
😂,love,Instagram,48,Female
😭,happy,Instagram,36,Female
😇,funny,Snapchat,33,Male
🤩,celebration,Twitter,16,Male
😊,support,WhatsApp,35,Female
🤣,confusion,Twitter,18,Female
🙏,love,TikTok,26,Female
💕,happy,TikTok,44,Female
🤣,support,Twitter,64,Male
😍,support,Facebook,28,Female
🤗,surprise,Instagram,18,Male
🥰,funny,TikTok,30,Male
😡,celebration,Instagram,51,Female
❤️,angry,Snapchat,44,Female
😡,surprise,Instagram,64,Female
😊,angry,Facebook,37,Male
🤩,support,TikTok,35,Male
😂,support,Instagram,30,Male
😇,cool,WhatsApp,17,Male
😔,support,WhatsApp,56,Female
😏,funny,Snapchat,30,Female
😘,happy,TikTok,58,Male
😳,funny,WhatsApp,54,Male
🙏,funny,Facebook,19,Female
❤️,cool,Instagram,57,Male
😭,angry,Twitter,34,Female
🤪,funny,Instagram,19,Female
🥰,love,Facebook,57,Male
😉,funny,Instagram,43,Male
🙄,cool,Instagram,35,Male
😭,celebration,WhatsApp,61,Male
🤣,happy,Facebook,35,Female
😳,cool,WhatsApp,55,Female
💔,funny,Snapchat,62,Female
😎,celebration,TikTok,39,Male
🤣,funny,TikTok,53,Male
💕,cool,Snapchat,26,Female
🙄,celebration,Facebook,21,Female
😭,support,Facebook,60,Male
😏,confusion,Snapchat,25,Female
😂,angry,TikTok,37,Male
🙏,angry,TikTok,60,Male
💔,happy,Twitter,36,Female
👏,angry,TikTok,63,Female
😘,funny,TikTok,50,Female
😏,cool,Snapchat,22,Male
😭,love,Instagram,46,Male
😳,surprise,Snapchat,41,Female
🙏,angry,TikTok,46,Male
😡,love,Snapchat,23,Male
🥰,funny,WhatsApp,15,Female
👏,confusion,Facebook,40,Male
😢,celebration,WhatsApp,27,Female
😂,love,WhatsApp,39,Female
🥰,cool,WhatsApp,16,Female
😏,love,Instagram,32,Male
💕,support,Facebook,25,Female
🤗,funny,Snapchat,39,Male
😅,funny,Instagram,23,Male
😏,happy,WhatsApp,63,Female
😍,funny,Instagram,37,Female
💔,surprise,Instagram,49,Female
🙌,happy,TikTok,64,Female
😂,surprise,WhatsApp,55,Male
😏,celebration,WhatsApp,50,Male
🤩,angry,Instagram,17,Male
😢,funny,Instagram,16,Male
😂,surprise,Facebook,17,Female
😏,confusion,Facebook,22,Female
💕,cool,WhatsApp,54,Male
❤️,love,WhatsApp,28,Female
😎,sad,Instagram,48,Male
💔,happy,TikTok,55,Female
🤗,happy,Twitter,16,Male
😜,celebration,Facebook,19,Male
😔,surprise,Twitter,27,Male
😘,love,Instagram,37,Female
😊,celebration,Snapchat,18,Female
🤗,sad,Snapchat,53,Male
🤪,confusion,Snapchat,21,Female
💔,celebration,Snapchat,53,Male
🎉,support,Instagram,27,Female
🤣,sad,Facebook,21,Female
😍,support,Facebook,53,Male
🙄,surprise,Twitter,61,Male
😔,celebration,WhatsApp,48,Male
🤗,support,Snapchat,34,Male
👍,confusion,Facebook,16,Male
🙌,confusion,Instagram,51,Female
😊,celebration,WhatsApp,35,Male
😘,surprise,Twitter,18,Female
😊,celebration,Twitter,13,Male
🎉,sad,Facebook,61,Female
😜,sad,Instagram,34,Female
😔,angry,Instagram,60,Male
😔,funny,TikTok,45,Male
🙌,love,Facebook,61,Male
😍,sad,Facebook,20,Male
🤣,confusion,Facebook,36,Female
😘,sad,Facebook,17,Male
🤩,sad,Instagram,43,Male
🙌,cool,Instagram,62,Male
🤩,cool,Facebook,26,Female
😉,sad,Instagram,63,Male
😉,cool,Twitter,62,Male
😎,confusion,TikTok,16,Male
👍,angry,Instagram,17,Female
😍,funny,Instagram,55,Female
🤩,support,TikTok,38,Female
😏,cool,WhatsApp,31,Male
💕,support,Instagram,41,Female
😢,sad,Facebook,29,Male
🤔,cool,TikTok,62,Female
🤪,happy,Facebook,62,Female
😡,cool,Facebook,27,Female
👍,cool,Snapchat,56,Female
🤩,cool,Instagram,49,Female
🥰,happy,TikTok,23,Female
😂,celebration,WhatsApp,52,Male
😅,support,Facebook,46,Female
👏,celebration,Facebook,38,Female
😔,cool,TikTok,40,Male
😭,celebration,Snapchat,28,Male
💕,cool,Twitter,56,Female
😔,happy,Snapchat,62,Female
😳,funny,Facebook,63,Male
👍,happy,TikTok,56,Female
😘,funny,Facebook,54,Female
💕,happy,Instagram,43,Male
😳,confusion,Twitter,34,Female
👏,funny,Facebook,18,Male
😜,cool,WhatsApp,33,Male
😭,confusion,TikTok,42,Male
😡,funny,Facebook,46,Male
❤️,angry,TikTok,63,Female
😘,angry,Snapchat,25,Male
😍,sad,TikTok,25,Female
😜,celebration,Snapchat,51,Male
😡,happy,TikTok,38,Male
😢,angry,Instagram,19,Female
🙏,funny,Facebook,47,Female
💔,celebration,Facebook,50,Male
😉,confusion,Instagram,55,Male
😊,celebration,TikTok,62,Male
🤪,surprise,TikTok,51,Female
😜,surprise,Facebook,61,Female
😡,love,Twitter,63,Male
😢,happy,Instagram,44,Female
🤪,cool,Instagram,19,Female
😜,surprise,TikTok,58,Male
❤️,cool,Twitter,21,Female
😎,love,WhatsApp,43,Female
😂,sad,Facebook,51,Female
😘,happy,Facebook,43,Male
🤔,cool,WhatsApp,42,Male
😍,surprise,TikTok,43,Female
🥰,love,Snapchat,15,Female
😏,confusion,Instagram,33,Male
🤪,support,Instagram,31,Female
😅,funny,TikTok,37,Female
🤔,cool,Snapchat,40,Male
🤩,angry,Twitter,45,Female
💔,support,Snapchat,33,Male
😇,support,Twitter,50,Female
😇,love,Instagram,14,Male
❤️,sad,Facebook,51,Male
😂,funny,TikTok,26,Male
🙏,surprise,Twitter,26,Male
😇,love,TikTok,35,Male
😍,surprise,Instagram,18,Male
👍,love,Instagram,46,Male
🤣,celebration,Twitter,16,Male
😡,celebration,WhatsApp,54,Male
😢,support,Twitter,18,Male
🙏,surprise,Instagram,43,Male
👏,confusion,Facebook,17,Female
😏,surprise,Snapchat,57,Male
😇,cool,WhatsApp,61,Female
💕,confusion,Instagram,49,Female
🙄,angry,Facebook,64,Female
💕,celebration,WhatsApp,51,Male
😡,cool,Facebook,14,Female
😏,support,TikTok,24,Male
💕,cool,Instagram,63,Female
😍,celebration,Facebook,32,Female
😡,cool,TikTok,33,Male
😡,cool,Instagram,28,Male
💕,angry,Facebook,13,Female
🙏,celebration,Facebook,58,Male
💔,happy,WhatsApp,51,Male
🙏,love,Snapchat,37,Male
😔,love,TikTok,38,Male
😘,surprise,WhatsApp,55,Male
😊,confusion,Twitter,64,Male
😉,surprise,Twitter,27,Female
😔,funny,Instagram,29,Female
😳,support,Facebook,47,Male
💔,sad,WhatsApp,42,Male
🎉,happy,Facebook,62,Male
🤣,love,TikTok,37,Female
😔,love,Snapchat,38,Female
😏,funny,TikTok,27,Male
🤩,surprise,Facebook,41,Male
🥰,confusion,Instagram,32,Male
🤗,surprise,WhatsApp,21,Female
😳,confusion,Twitter,32,Female
😔,funny,Snapchat,45,Male
🙏,sad,Facebook,35,Female
😉,confusion,TikTok,29,Male
🤔,support,Snapchat,54,Female
🤗,angry,Snapchat,44,Male
😢,cool,Snapchat,17,Male
🙌,love,TikTok,33,Male
🙏,angry,Snapchat,59,Male
❤️,celebration,WhatsApp,26,Female
🙏,angry,Snapchat,29,Male
💕,happy,Snapchat,26,Female
😎,support,WhatsApp,39,Female
🤩,sad,Instagram,45,Male
😅,confusion,Twitter,19,Female
💔,happy,Twitter,50,Female
😉,happy,Snapchat,37,Female
😢,sad,Snapchat,22,Male
🥰,funny,Twitter,34,Male
😭,funny,Facebook,33,Male
😔,support,Facebook,41,Female
🙏,angry,Snapchat,28,Male
👍,sad,Twitter,28,Female
💔,funny,Facebook,57,Female
😅,funny,Facebook,25,Female
